Source,Target,Type,Weight
Massachusetts Institute of Technology,Stanford University,Undirected,0.9857325040528085
Massachusetts Institute of Technology,Princeton University,Undirected,0.9707847339843036
Massachusetts Institute of Technology,Yale University,Undirected,0.9573674669056813
Massachusetts Institute of Technology,Rice University,Undirected,0.9537557508591201
Massachusetts Institute of Technology,California Institute of Technology,Undirected,0.9816193821480723
Massachusetts Institute of Technology,Southern Methodist University,Undirected,0.9559022278334224
Massachusetts Institute of Technology,Harvey Mudd College,Undirected,0.9583309324759864
Stanford University,Princeton University,Undirected,0.9691987226527271
Stanford University,Yale University,Undirected,0.976253086590385
Stanford University,Duke University,Undirected,0.954845704610191
Stanford University,University of Pennsylvania,Undirected,0.9509138346305003
Stanford University,Harvard University,Undirected,0.9542729576747931
Stanford University,University of Notre Dame,Undirected,0.9540550730161317
Stanford University,California Institute of Technology,Undirected,0.9528385630947568
Stanford University,Southern Methodist University,Undirected,0.9526807876401626
"University of California, Berkeley","University of California, Los Angeles",Undirected,0.9542882109645259
"University of California, Berkeley","University of California, San Diego",Undirected,0.984503303459848
"University of California, Berkeley","University of California, Davis",Undirected,0.9505744473158675
"University of California, Berkeley","University of California, Irvine",Undirected,0.9620610914624735
"University of California, Berkeley",Georgia Institute of Technology,Undirected,0.9646464625425826
Princeton University,Williams College,Undirected,0.9652597645355389
Princeton University,Yale University,Undirected,0.9881998665505454
Princeton University,Duke University,Undirected,0.9534981224157802
Princeton University,Rice University,Undirected,0.9841109205359163
Princeton University,Dartmouth College,Undirected,0.9612067631216004
Princeton University,Amherst College,Undirected,0.9651940045072124
Princeton University,University of Notre Dame,Undirected,0.9665218064820442
Princeton University,Swarthmore College,Undirected,0.966328654349866
Princeton University,California Institute of Technology,Undirected,0.9717484574811298
Princeton University,Carnegie Mellon University,Undirected,0.9605206827816446
Princeton University,Santa Clara University,Undirected,0.9515145606049193
Princeton University,Washington and Lee University,Undirected,0.975890329784257
Princeton University,Southern Methodist University,Undirected,0.9980901858075846
Princeton University,Pomona College,Undirected,0.9693606543781893
Princeton University,Lehigh University,Undirected,0.951703758208808
Princeton University,Brandeis University,Undirected,0.9622105566368734
Princeton University,Harvey Mudd College,Undirected,0.9675741241334377
Columbia University,University of Pennsylvania,Undirected,0.9830507029047911
Columbia University,Northwestern University,Undirected,0.983478263434332
Columbia University,Cornell University,Undirected,0.9693895352953416
Columbia University,Johns Hopkins University,Undirected,0.9882554765418067
Columbia University,University of Chicago,Undirected,0.9522981833127799
"University of California, Los Angeles","University of California, Davis",Undirected,0.9795492254036375
"University of California, Los Angeles","University of California, Irvine",Undirected,0.9854471056774484
"University of California, Los Angeles","University of Illinois, Urbana-Champaign",Undirected,0.9748046582516184
"University of California, Los Angeles",Georgia Institute of Technology,Undirected,0.9628821568060271
Williams College,Yale University,Undirected,0.9688590236419485
Williams College,Duke University,Undirected,0.9622951356699744
Williams College,Rice University,Undirected,0.9874794900904627
Williams College,Vanderbilt University,Undirected,0.9752379380564746
Williams College,Dartmouth College,Undirected,0.9876785085207881
Williams College,Brown University,Undirected,0.9809576514671227
Williams College,Amherst College,Undirected,0.9988604260584208
Williams College,University of Notre Dame,Undirected,0.975742195654295
Williams College,Swarthmore College,Undirected,0.9918220163381325
Williams College,Colgate University,Undirected,0.9663565988877483
Williams College,Carnegie Mellon University,Undirected,0.9730203168629472
Williams College,Claremont McKenna College,Undirected,0.9815718856938336
Williams College,Bowdoin College,Undirected,0.9859622415032552
Williams College,Washington and Lee University,Undirected,0.990689019158115
Williams College,Davidson College,Undirected,0.9775839156223617
Williams College,Lafayette College,Undirected,0.9751326379834471
Williams College,Southern Methodist University,Undirected,0.9726127147994079
Williams College,Pomona College,Undirected,0.9713234117388467
Williams College,Bucknell University,Undirected,0.9863333321623333
Williams College,Haverford College,Undirected,0.9594796856637753
Williams College,Lehigh University,Undirected,0.9795787313752522
Williams College,Brandeis University,Undirected,0.9910090787856791
Williams College,College of the Holy Cross,Undirected,0.971957667605433
Williams College,Franklin and Marshall College,Undirected,0.9735919090259737
Williams College,Carleton College,Undirected,0.9693862663086767
Yale University,Duke University,Undirected,0.9871166732470209
Yale University,University of Pennsylvania,Undirected,0.9653112614530923
Yale University,Rice University,Undirected,0.9850399099516742
Yale University,Vanderbilt University,Undirected,0.9755348431330704
Yale University,Dartmouth College,Undirected,0.9759207194363553
Yale University,Brown University,Undirected,0.9696026840003918
Yale University,Amherst College,Undirected,0.9618086385878916
Yale University,University of Notre Dame,Undirected,0.9851512168502979
Yale University,Swarthmore College,Undirected,0.9549953685883541
Yale University,California Institute of Technology,Undirected,0.9547575763927227
Yale University,Carnegie Mellon University,Undirected,0.9888980182499667
Yale University,Washington and Lee University,Undirected,0.962855321000974
Yale University,Southern Methodist University,Undirected,0.983995138932539
Yale University,Lehigh University,Undirected,0.9637038138328403
Duke University,University of Pennsylvania,Undirected,0.9784622019288401
Duke University,Rice University,Undirected,0.966712502619677
Duke University,Vanderbilt University,Undirected,0.9793338880726806
Duke University,Dartmouth College,Undirected,0.9812195730257239
Duke University,Cornell University,Undirected,0.9735284439949893
