Id,Label,cluster,state,region,collegeType,medianBaseSalary,totalStudentPop
Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,MA,Northeast,Private not-for-profit,173700.0,12195
Stanford University,Stanford University,0,CA,West,Private not-for-profit,173500.0,20961
"University of California, Berkeley","University of California, Berkeley",0,CA,West,Public,154500.0,45878
Princeton University,Princeton University,0,NJ,Northeast,Private not-for-profit,167600.0,8532
Columbia University,Columbia University,0,NY,Northeast,Private not-for-profit,148800.0,33882
"University of California, Los Angeles","University of California, Los Angeles",2,CA,West,Public,137200.0,46947
Williams College,Williams College,0,MA,Northeast,Private not-for-profit,152600.0,2307
Yale University,Yale University,0,CT,Northeast,Private not-for-profit,163700.0,14910
Duke University,Duke University,0,NC,South,Private not-for-profit,155000.0,17855
University of Pennsylvania,University of Pennsylvania,0,PA,Northeast,Private not-for-profit,164000.0,30688
Northwestern University,Northwestern University,0,IL,Midwest,Private not-for-profit,137200.0,25870
Rice University,Rice University,0,TX,South,Private not-for-profit,148100.0,8005
Vanderbilt University,Vanderbilt University,0,TN,South,Private not-for-profit,137300.0,13918
Dartmouth College,Dartmouth College,0,NH,Northeast,Private not-for-profit,161300.0,7171
Harvard University,Harvard University,0,MA,Northeast,Private not-for-profit,169000.0,41024
Cornell University,Cornell University,0,NY,Northeast,Private not-for-profit,148200.0,24594
"University of California, San Diego","University of California, San Diego",0,CA,West,Public,143500.0,40547
Johns Hopkins University,Johns Hopkins University,0,MD,Northeast,Private not-for-profit,138700.0,34250
Brown University,Brown University,0,RI,Northeast,Private not-for-profit,153100.0,10807
University of Chicago,University of Chicago,0,IL,Midwest,Private not-for-profit,136600.0,20413
University of Southern California,University of Southern California,0,CA,West,Private not-for-profit,139100.0,52376
Georgetown University,Georgetown University,0,DC,Northeast,Private not-for-profit,156000.0,22720
"University of California, Davis","University of California, Davis",2,CA,West,Public,134800.0,41236
Amherst College,Amherst College,0,MA,Northeast,Private not-for-profit,148700.0,1940
"University of Michigan, Ann Arbor","University of Michigan, Ann Arbor",0,MI,Midwest,Public,129600.0,49530
University of Florida,University of Florida,2,FL,Southeast,Public,117300.0,58857
Washington University in St. Louis,Washington University in St. Louis,0,MO,Midwest,Private not-for-profit,136000.0,17893
"University of North Carolina, Chapel Hill","University of North Carolina, Chapel Hill",0,NC,South,Public,111000.0,32160
University of Virginia,University of Virginia,0,VA,South,Public,137300.0,29237
"University of California, Irvine","University of California, Irvine",2,CA,West,Public,137700.0,39059
Emory University,Emory University,0,GA,South,Private not-for-profit,133400.0,15970
Tufts University,Tufts University,0,MA,Northeast,Private not-for-profit,145300.0,13458
"University of Washington, Seattle","University of Washington, Seattle",0,WA,West,Public,126800.0,56554
"University of Illinois, Urbana-Champaign","University of Illinois, Urbana-Champaign",2,IL,Midwest,Public,131200.0,57324
Georgia Institute of Technology,Georgia Institute of Technology,0,GA,South,Public,149900.0,43217
University of Notre Dame,University of Notre Dame,0,IN,Midwest,Private not-for-profit,149600.0,13268
Wellesley College,Wellesley College,0,MA,Northeast,Private not-for-profit,122600.0,2735
Swarthmore College,Swarthmore College,0,PA,Northeast,Private not-for-profit,147500.0,1689
"University of California, Santa Barbara","University of California, Santa Barbara",0,CA,West,Public,136400.0,28096
"University of Maryland, College Park","University of Maryland, College Park",0,MD,Northeast,Public,124500.0,44404
William & Mary,William & Mary,0,VA,Northeast,Public,128700.0,9785
Boston College,Boston College,0,MA,Northeast,Private not-for-profit,132000.0,16502
"University of Texas, Austin","University of Texas, Austin",0,TX,South,Public,127300.0,54243
Colgate University,Colgate University,0,NY,Northeast,Private not-for-profit,154400.0,3112
California Institute of Technology,California Institute of Technology,0,CA,West,Private not-for-profit,164600.0,2319
Carnegie Mellon University,Carnegie Mellon University,0,PA,Northeast,Private not-for-profit,152500.0,15567
Claremont McKenna College,Claremont McKenna College,0,CA,West,Private not-for-profit,161700.0,1361
Bowdoin College,Bowdoin College,0,ME,Northeast,Private not-for-profit,145600.0,1973
"University of Wisconsin, Madison","University of Wisconsin, Madison",0,WI,Midwest,Public,117100.0,47831
Wake Forest University,Wake Forest University,0,NC,South,Private not-for-profit,135300.0,9266
Wesleyan University,Wesleyan University,0,CT,Northeast,Private not-for-profit,143100.0,3599
"Texas A&M University, College Station","Texas A&M University, College Station",2,TX,South,Public,129900.0,73308
Hamilton College,Hamilton College,0,NY,Northeast,Private not-for-profit,125900.0,2085
Boston University,Boston University,0,MA,Northeast,Private not-for-profit,134000.0,42047
Middlebury College,Middlebury College,0,VT,Northeast,Private not-for-profit,138100.0,4616
Santa Clara University,Santa Clara University,0,CA,West,Private not-for-profit,157200.0,9509
Brigham Young University,Brigham Young University,2,UT,West,Private not-for-profit,131700.0,39086
Purdue University,Purdue University,0,IN,Midwest,Public,119100.0,49027
Washington and Lee University,Washington and Lee University,0,VA,South,Private not-for-profit,152300.0,2269
New York University,New York University,0,NY,Northeast,Private not-for-profit,136900.0,58361
George Washington University,George Washington University,0,DC,Northeast,Private not-for-profit,139600.0,32209
Trinity College (CT),Trinity College (CT),0,CT,Northeast,Private not-for-profit,131100.0,2372
San Diego State University,San Diego State University,2,CA,West,Public,114000.0,38336
University of Georgia,University of Georgia,2,GA,South,Public,113900.0,42941
"Binghamton University, SUNY","Binghamton University, SUNY",2,NY,Northeast,Public,126900.0,19660
"CUNY, Baruch College","CUNY, Baruch College",2,NY,Northeast,Public,121000.0,22599
Florida State University,Florida State University,2,FL,South,Public,105400.0,47836
"University of Minnesota, Twin Cities","University of Minnesota, Twin Cities",2,MN,Midwest,Public,117400.0,63760
Davidson College,Davidson College,0,NC,South,Private not-for-profit,134700.0,2022
"North Carolina State University, Raleigh","North Carolina State University, Raleigh",0,NC,South,Public,119700.0,40537
Barnard College,Barnard College,0,NY,Northeast,Private not-for-profit,131500.0,2771
University of Richmond,University of Richmond,0,VA,South,Private not-for-profit,123100.0,4534
Vassar College,Vassar College,0,NY,Northeast,Private not-for-profit,124800.0,2591
University of Connecticut,University of Connecticut,2,CT,Northeast,Public,117700.0,29818
New Jersey Institute of Technology,New Jersey Institute of Technology,1,NJ,Northeast,Public,137600.0,13619
"California State University, Fullerton","California State University, Fullerton",2,CA,West,Public,110400.0,46245
Lafayette College,Lafayette College,0,PA,Northeast,Private not-for-profit,144300.0,2701
University of Miami (FL),University of Miami (FL),0,FL,South,Private not-for-profit,115300.0,19971
Northeastern University,Northeastern University,2,MA,Northeast,Private not-for-profit,120100.0,30003
"California State University, Long Beach","California State University, Long Beach",2,CA,West,Public,112500.0,42378
Michigan State University,Michigan State University,2,MI,Midwest,Public,112300.0,55406
Virginia Tech,Virginia Tech,0,VA,,Public,128800.0,38350
Southern Methodist University,Southern Methodist University,0,TX,South,Private not-for-profit,131600.0,12963
"University of California, Riverside","University of California, Riverside",2,CA,West,Public,121900.0,27507
Pomona College,Pomona College,0,CA,West,Private not-for-profit,146400.0,1733
